title,label_score
KPK Bakal Umumkan Penetapan Tersangka Baru Sore Ini,1
Jelang MotoGP San Marino: Valentino Rossi Diarak di Kampungya,0
KPK Tepis Pernyataan Menpora Belum Terima Surat Panggilan Tersangka,0
Pemerintah Minta Rapat Revisi UU KPK Terbuka untuk Umum,0
"Pimpinan KPK Kembalikan Mandat ke Jokowi, ICW: Menuju Kematian",0
Pantai Mustika akan Dijadikan Sentra Kuliner Lobster,0
"Kasusnya Damai, Ibunda Kris Hatta Kecewa Anaknya Akan Disidang",0
"Nayeon Twice Bikin Pangling Berambut Pirang, Ini Komentar Yeri Red Velvet",1
Jose Mourinho Meramalkan Masa Depan Cristiano Ronaldo di Usia 50 Tahun,1
Jadwal Persija Jakarta: Banuelos Siap Hadapi Ujian Vs Persipura,0
"Sempat Musuhan dengan Raffi Ahmad, Jessica Iskandar Jawab Ini Saat Disinggung soal Ayu Ting Ting",1
Kemendag Musnahkan Mainan Anak hingga Raket Nyamuk dari Importir Ilegal,0
Menteri PPPA: Perkawinan Anak di Indonesia Mengkhawatirkan,0
"Jadwal Liga Spanyol Akhir Pekan Ini, Duel Seru Barcelona Vs Valencia",1
"Fairuz A. Rafiq Makin Bahagia Usai Kasus Ikan Asin, Dijanjikan Hadiah Spesial dari Sonny Septian",1
Turki tak Sanggup Lagi Tangani Pengungsi Suriah,0
"5 Ambulans di Pejompongan Diamankan Polisi, Diduga Terkait Demo Ricuh",0
"Sebut Pengungsi Gempa Ambon Jadi Beban Pemerintah, Wiranto Beri Klarifikasi",1
"Selfie Pertama Terungkap, Cinta Laura Miliki Mata Berwarna Biru Saat Masih Balita?",1
6 Kisah Pilu dalam Pesan Terakhir Korban Tragedi 9/11,1
"Pabrik Tiner di Kalideres Terbakar, 15 Mobil Damkar Dikerahkan",0
"Bukan Gibran, Pengusaha Muda yang Dilobi PKS Jadi Bakal Cawalkot Solo",0
"Waspada Serangan Drone, Sistem Keamanan Kilang Minyak Perlu Ditingkatkan",1
INFOGRAFIS: Mengenal Sejarah Batik Di Indonesia Yang Eksis Sejak Masa Kerajaan,0
"Warganet Tuding Polisi Sebar Hoaks Soal Demo Siswa STM, Begini Tanggapan Polri",1
De Gea Ungkap Perasaannya Usai Perpanjang Kontak di Man United,1
Yenny Wahid: BJ Habibie Telaga Ilmu Luar Biasa,1
Rokok dan Audisi Bulu Tangkis,1
"Bertemu di Game PUBG, Pria Ini Baru Tahu Calon Istrinya Lumpuh, Reaksi Jujurnya Banjir Pujian",1
Pengamat: Penolakan Revisi UU KPK Bertentangan Konstitusi,0
Kata BJ Habibie Tentang Helmut Schmidt: Dia Guru Intelektual Saya,1
"Cerita Dory Penabuh Gendang yang Viral dan Berparas Tampan, Ungkap Awal Mula Bertemu Didi Kempot",1
"KPK Tegas Menolak Revisi UU, Romli Beri Analogi 'Servis Mobil'",0
Jokowi Diminta Tegas Berantas Korupsi,0
"Mengalami KDRT, Begini Fakta Tiga Setia Gara",1
"Terancam Dimejahijaukan, Mahasiswa yang Turunkan Foto Jokowi Minta Maaf",0
Munas Dinilai Bisa Jadi Reformasi Partai Golkar Jilid 2,0
"Riau Belum Butuh Bantuan DKI, Anies: Kami Kirim ke BNPB",0
"Jumpa Fans Dengan Penggemar, Marshanda Nangis: Aku Ngerasa Dicintai",1
Kalina Ocktaranny Beberkan Alasan Kedekatan dengan Pacar Deddy Corbuzier,1
"Lindungi Industri Tekstil dari Banjir Impor, Langkah Pemerintah?",1
