title,label_score
"Bursa Transfer Liga 1 Tutup, PSS Sleman Datangkan 6 Pemain Lagi",0
"Didiagnosis Kembung Biasa, Bocah 3 Tahun Meninggal Akibat Kanker Perut",0
"Pertama di Indonesia, Bambu Diolah Jadi Energi Listrik untuk Terangi 3 Desa",0
Caleg Perempuan Kian Kuat di Pemilu 2019,0
"Disinggung soal Makna Lagu Kasih Sayang Kepada Orangtua, Ini Jawaban Mawang",1
BRAKK!! Truk Ngebut Lindas 3 Pengendara Motor di Jalan Gatsu Medan,1
Pemerintah Baru Terima Ganti Rugi Rp400 M dari Perusahaan Pembakar Lahan,0
"Demo Surabaya Cenderung Kondusif, Diduga Ini Alasannya",1
ICW Kritik Pidato Jokowi Soal Revisi UU KPK: Tidak Ada Penguatan,0
Mau Tahu Seperti Apa Huawei Mate 30 Pro? Ini Spesifikasi dan Gambarnya,1
"Nunung & Jefri Nichol Ditangkap, Atta Halilintar: Tidak Keren Dengan Narkoba!",0
"Massa #GejayanMemanggil2 Mulai Berkumpul, Singgung 'Rezim Pinokio'",1
"Main Film Horor, Prisia Nasution Syuting 26 Jam",1
"Hari Ketiga, Final Gala Catur Emas Penuh Kejutan",1
Toyota Indonesia Luluskan Siswa Siap Pakai,0
"Foto Bareng 2 Wanita Ini, Risa Saraswati Minder",1
"Menurut Google, Ini Tantangan Pertumbuhan Startup di Indonesia",1
"Chung Ha dan ATEEZ Buka Smartfren Wow Concert, Seisi Istora Senayan Bergemuruh!",1
Nikita Mirzani Sebut Tas Rp 40 Juta Untuk Belanja Kangkung Di Pasar,1
"Jokowi Sebut 141 Juta Penduduk RI 'Naik Kelas' Pada 2020, Apa Maksudnya?",1
Mertesacker: Oezil Masih Mampu Tingkatkan Performa Arsenal,0
"Cukai Naik, Analis Rekomendasikan Beli Saham Rokok Ini",1
Cerita Daniel Mananta Jalani 4 Profesi Sekaligus,1
3 Alasan Liga Eropa Penting bagi Manchester United,1
Andre Taulany Beli Harley Davidson Sportster Seharga Rp 400-an Juta Setelah Nabung Selama 25 Tahun,0
